TimeStamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Quat_1,Quat_2,Quat_3,Quat_4
0.1617122,-0.9830321,0.07385252,0.04882812,-0.05245209,-1.980782,-1.026154, 0.1260208, 0.6409667, 0.264732, -0.6218599
0.164372,-0.9830321,0.07385252,0.04882812,-0.05245209,-1.980782,-1.026154, 0.1260208, 0.6409667, 0.264732, -0.6218599
0.1670208,-0.9830321,0.07385252,0.04882812,-0.05245209,-1.980782,-1.026154, 0.1260208, 0.6409667, 0.264732, -0.6218599
0.1693931,-0.9830321,0.07385252,0.04882812,-0.05245209,-1.980782,-1.026154, 0.1260208, 0.6409667, 0.264732, -0.6218599
0.1724415,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.1760464,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.178761,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.1815929,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.1842375,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.1871991,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.1903977,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.1932621,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.1960678,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.1989279,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.2059455,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.2090831,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.2119226,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.2146649,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.2171664,-0.9820555,0.08703612,0.02978515,1.686096,-4.025459,1.65844, 0.1245281, 0.6422406, 0.2611082, -0.6242546
0.2197628,-0.993286,0.09240721,0.02783202,4.066467,0.2613068,0.3156662, 0.1229163, 0.6437842, 0.25726, -0.6265678
0.223125,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2259741,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2286873,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2316318,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2341933,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2373567,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2401996,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2435579,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2539096,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2570333,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2597113,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2624116,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2652574,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2679033,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2707038,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2731323,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2760091,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.2787023,-0.9771727,0.1016846,0.03808593,-1.013756,3.49617,-1.346588, 0.08453053, 0.6469761, 0.2498829, -0.6309424
0.281467,-0.977661,0.1016846,0.02343749,-3.714561,3.633499,3.16906, 0.08349101, 0.6484428, 0.2466107, -0.6327026
0.2844954,-1.019653,0.0875244,0.02685546,-2.387047,5.968094,4.267693, 0.08138296, 0.6517336, 0.2395622, -0.635935
0.2874551,-1.019653,0.0875244,0.02685546,-2.387047,5.968094,4.267693, 0.08138296, 0.6517336, 0.2395622, -0.635935
0.2899952,-1.019653,0.0875244,0.02685546,-2.387047,5.968094,4.267693, 0.08138296, 0.6517336, 0.2395622, -0.635935
0.2925096,-1.019653,0.0875244,0.02685546,-2.387047,5.968094,4.267693, 0.08138296, 0.6517336, 0.2395622, -0.635935
0.2948337,-1.019653,0.0875244,0.02685546,-2.387047,5.968094,4.267693, 0.08138296, 0.6517336, 0.2395622, -0.635935
0.2976336,-1.005981,0.1046142,0.02636718,0.02288818,5.327225,-0.8430481, 0.0802094, 0.6533983, 0.2359651, -0.6376848
0.300807,-1.005981,0.1046142,0.02636718,0.02288818,5.327225,-0.8430481, 0.0802094, 0.6533983, 0.2359651, -0.6376848
0.3038769,-1.005981,0.1046142,0.02636718,0.02288818,5.327225,-0.8430481, 0.0802094, 0.6533983, 0.2359651, -0.6376848
0.3075142,-1.005981,0.1046142,0.02636718,0.02288818,5.327225,-0.8430481, 0.0802094, 0.6533983, 0.2359651, -0.6376848
0.3109231,-1.005981,0.1046142,0.02636718,0.02288818,5.327225,-0.8430481, 0.0802094, 0.6533983, 0.2359651, -0.6376848
0.3139563,-1.005981,0.1046142,0.02636718,0.02288818,5.327225,-0.8430481, 0.0802094, 0.6533983, 0.2359651, -0.6376848
0.3169227,-1.005981,0.1046142,0.02636718,0.02288818,5.327225,-0.8430481, 0.0802094, 0.6533983, 0.2359651, -0.6376848
0.3198595,-1.005981,0.1046142,0.02636718,0.02288818,5.327225,-0.8430481, 0.0802094, 0.6533983, 0.2359651, -0.6376848
0.3225694,-1.005981,0.1046142,0.02636718,0.02288818,5.327225,-0.8430481, 0.0802094, 0.6533983, 0.2359651, -0.6376848
0.3249846,-1.005981,0.1046142,0.02636718,0.02288818,5.327225,-0.8430481, 0.0802094, 0.6533983, 0.2359651, -0.6376848
0.3274555,-1.005981,0.1046142,0.02636718,0.02288818,5.327225,-0.8430481, 0.0802094, 0.6533983, 0.2359651, -0.6376848
0.3300667,-0.9722899,0.09191893,0.01904296,-1.425743,4.045486,-0.3089905, 0.07899061, 0.6549831, 0.2324096, -0.6395146
0.3331513,-0.9722899,0.09191893,0.01904296,-1.425743,4.045486,-0.3089905, 0.07899061, 0.6549831, 0.2324096, -0.6395146
0.3361564,-0.9722899,0.09191893,0.01904296,-1.425743,4.045486,-0.3089905, 0.07899061, 0.6549831, 0.2324096, -0.6395146
0.3391023,-0.9722899,0.09191893,0.01904296,-1.425743,4.045486,-0.3089905, 0.07899061, 0.6549831, 0.2324096, -0.6395146
0.3417983,-0.9722899,0.09191893,0.01904296,-1.425743,4.045486,-0.3089905, 0.07899061, 0.6549831, 0.2324096, -0.6395146
0.3458805,-1.008911,0.09729002,0.0258789,1.487732,6.715775,5.366325, 0.07665636, 0.6583813, 0.2249448, -0.6426901
0.3553543,-1.008911,0.09729002,0.0258789,1.487732,6.715775,5.366325, 0.07665636, 0.6583813, 0.2249448, -0.6426901
0.362474,-1.008911,0.09729002,0.0258789,1.487732,6.715775,5.366325, 0.07665636, 0.6583813, 0.2249448, -0.6426901
0.3655162,-1.008911,0.09729002,0.0258789,1.487732,6.715775,5.366325, 0.07665636, 0.6583813, 0.2249448, -0.6426901
0.368032,-1.008911,0.09729002,0.0258789,1.487732,6.715775,5.366325, 0.07665636, 0.6583813, 0.2249448, -0.6426901
0.3707137,-1.008911,0.09729002,0.0258789,1.487732,6.715775,5.366325, 0.07665636, 0.6583813, 0.2249448, -0.6426901
0.3739924,-1.008911,0.09729002,0.0258789,1.487732,6.715775,5.366325, 0.07665636, 0.6583813, 0.2249448, -0.6426901
0.3769031,-1.008911,0.09729002,0.0258789,1.487732,6.715775,5.366325, 0.07665636, 0.6583813, 0.2249448, -0.6426901
0.3794842,-1.008911,0.09729002,0.0258789,1.487732,6.715775,5.366325, 0.07665636, 0.6583813, 0.2249448, -0.6426901
0.3820271,-1.008911,0.09729002,0.0258789,1.487732,6.715775,5.366325, 0.07665636, 0.6583813, 0.2249448, -0.6426901
0.3844147,-1.008911,0.09729002,0.0258789,1.487732,6.715775,5.366325, 0.07665636, 0.6583813, 0.2249448, -0.6426901
0.3867807,-1.008911,0.09729002,0.0258789,1.487732,6.715775,5.366325, 0.07665636, 0.6583813, 0.2249448, -0.6426901
0.3892589,-1.008911,0.09729002,0.0258789,1.487732,6.715775,5.366325, 0.07665636, 0.6583813, 0.2249448, -0.6426901
0.3920994,-0.9947509,0.07678221,0.03320312,-0.4034042,1.466751,-0.003814697, 0.07436617, 0.6612442, 0.2177261, -0.6460048
0.3949084,-0.9947509,0.07678221,0.03320312,-0.4034042,1.466751,-0.003814697, 0.07436617, 0.6612442, 0.2177261, -0.6460048
